name,cost,brand,category,image,vendor_email
Organic Apples 1kg,220,FreshMart,Groceries,https://picsum.photos/seed/apples/240,vendor.fresh@trackeasy.com
Basmati Rice 5kg,480,FreshMart,Groceries,https://picsum.photos/seed/rice/240,vendor.fresh@trackeasy.com
Almond Milk 1L,180,FreshMart,Groceries,https://picsum.photos/seed/milk/240,vendor.fresh@trackeasy.com
Dark Chocolate 100g,150,FreshMart,Snacks,https://picsum.photos/seed/choco/240,vendor.fresh@trackeasy.com
Green Tea 25 bags,220,FreshMart,Beverages,https://picsum.photos/seed/tea/240,vendor.fresh@trackeasy.com
Wireless Earbuds,2499,TechWorld,Audio,https://picsum.photos/seed/earbuds/240,vendor.tech@trackeasy.com
Bluetooth Speaker,3999,TechWorld,Audio,https://picsum.photos/seed/speaker/240,vendor.tech@trackeasy.com
USB-C Fast Charger 65W,1499,TechWorld,Accessories,https://picsum.photos/seed/charger/240,vendor.tech@trackeasy.com
Mechanical Keyboard,5499,TechWorld,Peripherals,https://picsum.photos/seed/keyboard/240,vendor.tech@trackeasy.com
Webcam 1080p,2199,TechWorld,Peripherals,https://picsum.photos/seed/webcam/240,vendor.tech@trackeasy.com
